7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
