44,-1,78,0,44,0,34,34,0,1
37,0,76,0,26,20,39,50,12,1
41,5,80,0,42,7,39,39,0,1
51,0,88,0,52,8,36,36,0,1
37,0,76,-7,20,-6,39,55,16,1
42,0,86,1,42,0,45,45,0,1
41,0,88,0,42,24,48,47,0,1
46,-5,86,-1,46,-2,40,40,0,1
46,0,92,6,46,0,45,45,0,1
37,0,77,0,34,9,41,44,2,1
41,0,76,-3,38,0,35,37,2,1
56,-1,96,0,52,0,40,44,4,4
37,0,76,-4,20,-6,40,55,16,1
46,0,82,0,46,3,36,35,0,1
42,-1,76,1,42,0,34,35,0,1
56,0,86,0,54,-11,31,32,2,1
106,0,107,0,72,0,1,35,34,5
38,1,77,0,38,5,40,39,0,1
37,0,97,0,36,9,59,60,2,1
37,0,79,0,12,-19,43,66,24,1
73,8,77,9,-42,-4,4,121,116,5
37,0,76,-3,28,-3,39,47,8,1
37,0,78,0,10,4,41,68,26,1
55,0,82,0,-18,7,26,100,74,4
45,0,83,8,44,-3,38,39,2,1
79,0,83,0,-42,21,4,127,122,5
54,-5,88,0,54,0,34,34,0,1
55,0,96,0,52,-15,41,44,4,4
45,0,83,0,46,15,37,36,0,1
37,0,100,0,34,-23,64,67,4,1
55,0,95,0,46,-3,40,49,8,4
55,0,98,0,50,-9,42,49,6,4
37,0,77,0,26,13,40,51,10,1
49,0,81,0,50,4,33,32,0,1
41,-3,81,0,42,18,40,39,0,1
58,-1,86,0,56,-6,27,29,2,1
45,0,86,1,44,-17,41,42,2,1
37,0,76,-4,36,0,39,39,0,1
44,0,85,0,44,0,41,41,0,1
45,-1,79,2,46,13,33,32,0,1
37,0,77,-3,-10,18,40,87,46,1
37,0,106,0,20,-22,69,85,16,1
54,0,81,-3,54,0,27,26,0,1
37,0,76,0,26,5,39,50,12,1
56,0,77,0,-6,-24,21,85,64,4
84,2,87,2,-4,0,3,92,88,5
47,0,83,0,46,-1,35,36,0,1
37,1,81,-8,34,0,44,48,4,1
38,0,97,5,38,1,59,58,0,1
55,0,77,-1,-10,0,21,87,66,4
57,-4,86,0,56,0,30,30,0,1
59,0,87,0,56,-6,28,30,2,1
37,0,77,0,34,-1,40,43,2,1
46,0,81,1,46,7,35,35,0,1
37,0,75,-5,24,0,38,52,14,1
42,4,79,0,42,0,37,38,2,1
56,0,96,1,44,8,40,52,12,4
44,0,95,0,44,0,52,51,0,1
50,5,96,0,50,0,46,47,0,1
56,0,92,0,56,20,36,35,0,1
41,0,75,0,38,-23,34,36,2,1
37,0,105,0,16,-23,68,89,22,1
41,0,82,-1,42,23,41,41,0,1
37,-1,77,0,36,-18,39,41,2,1
41,0,81,1,42,29,40,39,0,1
45,-1,79,0,44,-13,33,35,2,1
49,2,80,0,50,3,31,31,0,1
44,2,83,0,42,-27,39,41,2,1
37,0,77,0,36,31,41,41,0,1
102,0,103,2,72,30,1,31,30,5
49,1,111,0,50,2,62,62,0,1
64,0,111,2,62,-12,46,49,2,1
37,0,81,0,36,-21,44,45,2,1
41,-2,79,0,38,-9,38,40,2,1
55,-5,95,0,46,0,40,49,8,4
40,0,81,-4,38,0,41,43,2,1
54,-1,81,0,54,-1,27,27,0,1
37,0,78,0,-2,10,41,81,40,1
56,4,76,-1,-18,-10,20,94,74,4
42,5,93,0,42,1,52,52,0,1
44,0,81,0,44,21,37,37,0,1
42,3,82,0,42,0,39,41,2,1
37,0,79,-3,20,0,43,59,16,1
53,7,79,0,42,-1,25,37,12,4
55,-5,78,0,10,1,23,68,46,4
55,0,97,-7,42,0,42,56,14,4
47,1,81,0,46,0,34,35,0,1
48,0,87,-2,46,-3,39,41,2,1
45,0,82,0,46,24,37,35,0,1
56,0,98,0,44,18,42,54,12,4
43,0,83,1,44,26,39,39,0,1
43,0,83,2,44,31,40,39,0,1
45,-2,78,0,44,-13,33,34,2,1
58,5,97,0,56,0,39,40,2,1
37,0,106,-2,36,0,68,69,2,1
41,1,76,0,42,7,35,35,0,1
56,0,98,0,46,1,42,51,10,4
56,3,76,0,-18,-3,20,94,74,4
